,fea_name,fea
106,uid_target_enc,20.244669412033574
49,uidadv_id_nunique,9.613782012511969
72,uidtask_id_nunique_target_enc,8.972833846189216
110,slot_id_target_enc,7.329304730405371
48,uidtask_id_nunique,6.007260742081068
73,uidadv_id_nunique_target_enc,5.156969056823522
107,uid_count_target_enc,4.710654819453448
97,task_id_target_enc,4.609577980104017
98,adv_id_target_enc,4.564627848608738
45,uid_count,4.052945049195907
75,uidslot_id_nunique_target_enc,1.7279642188706468
108,dev_id_target_enc,1.282843531050678
34,slot_id_count,1.1313443908981726
51,uidslot_id_nunique,1.1080427089531864
79,ageadv_id_nunique_target_enc,1.105294021761643
99,adv_prim_id_target_enc,0.9946060740438643
30,task_id,0.850813075770915
36,task_id_count,0.8246197997805638
0,adv_id,0.7606462157942068
2,age,0.6793493965780011
1,adv_prim_id,0.6328555218644438
37,adv_id_count,0.6178082942735444
14,device_price,0.6083595223445775
78,agetask_id_nunique_target_enc,0.5276147377988019
76,uidspread_app_id_nunique_target_enc,0.508483909996268
38,adv_prim_id_count,0.49630509213151225
31,uid,0.45458626883443565
28,spread_app_id,0.4508258061841735
22,inter_type_cd,0.4420741152606601
13,device_name,0.42865593319934686
7,city,0.4146270358085435
27,slot_id,0.40774097190578856
104,city_target_enc,0.3990338034076716
23,list_time,0.3740204949061741
9,communication_avgonline_30d,0.3562803779843107
11,creat_type_cd,0.34938773993846073
43,city_count,0.33641740713048895
77,uidindu_name_nunique_target_enc,0.3321649959579513
26,residence,0.3153454878394986
12,dev_id,0.3046490670164211
15,device_size,0.30311384036555067
109,tags_target_enc,0.29279508893043715
74,uiddev_id_nunique_target_enc,0.2794922716607985
32,up_life_duration,0.27578990847088675
46,dev_id_count,0.2624315213447844
16,emui_dev,0.2248612226992052
17,gender,0.2213226381797091
21,indu_name,0.2126326607403809
18,his_app_size,0.21019102655083413
52,uidspread_app_id_nunique,0.1822322674763629
47,tags_count,0.15722291451400475
84,careertask_id_nunique_target_enc,0.15316511084193654
29,tags,0.14700765120238465
102,app_second_class_target_enc,0.14103463695944915
5,app_second_class,0.1381465330489626
90,net_typetask_id_nunique_target_enc,0.13606992667620912
71,net_typeindu_name_nunique,0.13450200560273867
93,net_typeslot_id_nunique_target_enc,0.1337344449384892
41,app_second_class_count,0.1190112598762092
53,uidindu_name_nunique,0.11658363415410906
105,consume_purchase_target_enc,0.11606374045683479
100,age_target_enc,0.11570763180281618
6,career,0.09709152505885704
88,careerspread_app_id_nunique_target_enc,0.09102668820469388
39,age_count,0.08405969497369245
50,uiddev_id_nunique,0.08142120075270458
94,net_typespread_app_id_nunique_target_enc,0.07762355570579443
103,career_target_enc,0.06665685001364521
95,net_typeindu_name_nunique_target_enc,0.06274610582094817
89,careerindu_name_nunique_target_enc,0.06187897684356802
44,consume_purchase_count,0.05769151040660931
33,up_membership_grade,0.055652194706755004
10,consume_purchase,0.05373753092774261
42,career_count,0.04945235080361282
80,agedev_id_nunique_target_enc,0.04771146291187593
83,ageindu_name_nunique_target_enc,0.04766267798957764
85,careeradv_id_nunique_target_enc,0.04412895641951324
82,agespread_app_id_nunique_target_enc,0.0441103332233934
86,careerdev_id_nunique_target_enc,0.04385369748540715
101,app_first_class_target_enc,0.04047701806078777
19,his_on_shelf_time,0.03801621742969847
25,net_type,0.03178463645457872
55,ageadv_id_nunique,0.029632223573642542
92,net_typedev_id_nunique_target_enc,0.02715615828360448
60,careertask_id_nunique,0.02452314342951185
8,city_rank,0.023842986047071916
96,net_type_target_enc,0.018191535167990762
68,net_typedev_id_nunique,0.01699505313852707
24,membership_life_duration,0.013498608457060138
35,net_type_count,0.012911265034735959
61,careeradv_id_nunique,0.01281307985511445
3,app_first_class,0.012331385330779926
66,net_typetask_id_nunique,0.011032572344017883
91,net_typeadv_id_nunique_target_enc,0.010471365673899412
64,careerspread_app_id_nunique,0.009753362106171575
54,agetask_id_nunique,0.009020967249435236
69,net_typeslot_id_nunique,0.007453267048908173
65,careerindu_name_nunique,0.006944225574845963
58,agespread_app_id_nunique,0.006251855007012206
56,agedev_id_nunique,0.0051962737688296436
62,careerdev_id_nunique,0.003177557184762283
4,app_score,0.001792289451539738
40,app_first_class_count,0.001730190894198873
59,ageindu_name_nunique,0.0
57,ageslot_id_nunique,0.0
63,careerslot_id_nunique,0.0
20,id,0.0
67,net_typeadv_id_nunique,0.0
87,careerslot_id_nunique_target_enc,0.0
70,net_typespread_app_id_nunique,0.0
81,ageslot_id_nunique_target_enc,0.0
